artist,genres
waterparks, modernalternativerock modernrock neonpoppunk pixie poppunk rock socialmediapop texaspoppunk
justice, alternativedance dance-punk electronica filterhouse newrave
the chemical brothers, alternativedance bigbeat breakbeat electronica newrave rave
breakbot, alternativedance filterhouse newfrenchtouch nudisco
kavinsky, filterhouse
cassius, alternativedance bigbeat discohouse electrohouse electronica filterhouse newrave
digitalism, alternativedance bigbeat dance-punk electrohouse electronica indietronica newrave
ratatat, alternativedance electronica indietronica newrave
metronomy, alternativedance dance-punk electronica electropop frenchindiepop indierock indietronica modernrock newrave socalpoppunk
hot chip, alternativedance chillwave dance-punk electronica electropop indierock indietronica modernrock neo-synthpop newrave
chromeo, alternativedance dance-punk filterhouse newrave nudisco
the avalanches, alternativedance australianalternativerock australiandance collagepop electronica newrave psychedelichiphop
gesaffelstein, darkclubbing destroytechno electrohouse
deadmau5, canadianelectronic edm electrohouse progressivehouse
empire of the sun, alternativedance australiandance australianelectropop dance-punk electropop indietronica neo-synthpop newrave
phoenix, alternativedance dance-punk indiepop indierock modernrock newrave rockindependantfrancais
lcd soundsystem, alternativedance alternativerock dance-punk electronicrock electronica indiepop indierock indietronica modernrock newrave rock
crystal castles, alternativedance bitpop dance-punk digitalhardcore electronica indietronica neo-synthpop newrave nintendocore nugaze
röyksopp, alternativedance bigbeat downtempo electronica electropop triphop
sébastien tellier, alternativedance downtempo electronica filterhouse frenchindiepop frenchindietronica frenchsynthpop newrave
fatboy slim, bigbeat
pennywise, melodichardcore punk skapunk skatepunk socalpoppunk
nofx, punk skatepunk socalpoppunk
the vandals, hardcorepunk melodichardcore punk ska skapunk skatepunk
anti-flag, melodichardcore poppunk punk skapunk skatepunk
me first and the gimme gimmes, comic poppunk punk skapunk skatepunk
millencolin, melodichardcore poppunk punk skatepunk
face to face, melodichardcore punk skapunk skatepunk
social distortion, punk punk'n'roll skatepunk socalpoppunk
guttermouth, melodichardcore punk skapunk skatepunk
authority zero, arizonapunk melodichardcore modernskapunk punk skapunk skatepunk
rancid, punk ska skapunk skatepunk
lagwagon, melodichardcore poppunk punk skapunk skatepunk socalpoppunk
good riddance, melodichardcore punk skatepunk
no use for a name, melodichardcore poppunk punk skapunk skatepunk
the bouncing souls, melodichardcore newjerseyhardcore newjerseypunk poppunk punk ska skapunk skatepunk
strung out, melodichardcore punk skapunk skatepunk
descendents, hardcorepunk melodichardcore punk skapunk skatepunk
transplants, punk ska skapunk skatepunk
goldfinger, poppunk punk ska skapunk skatepunk socalpoppunk
ten foot pole, fastmelodicpunk melodichardcore punk skatepunk
justice, alternativedance dance-punk electronica filterhouse newrave
the chemical brothers, alternativedance bigbeat breakbeat electronica newrave rave
breakbot, alternativedance filterhouse newfrenchtouch nudisco
kavinsky, filterhouse
cassius, alternativedance bigbeat discohouse electrohouse electronica filterhouse newrave
digitalism, alternativedance bigbeat dance-punk electrohouse electronica indietronica newrave
ratatat, alternativedance electronica indietronica newrave
metronomy, alternativedance dance-punk electronica electropop frenchindiepop indierock indietronica modernrock newrave socalpoppunk
hot chip, alternativedance chillwave dance-punk electronica electropop indierock indietronica modernrock neo-synthpop newrave
chromeo, alternativedance dance-punk filterhouse newrave nudisco
the avalanches, alternativedance australianalternativerock australiandance collagepop electronica newrave psychedelichiphop
gesaffelstein, darkclubbing destroytechno electrohouse
deadmau5, canadianelectronic edm electrohouse progressivehouse
empire of the sun, alternativedance australiandance australianelectropop dance-punk electropop indietronica neo-synthpop newrave
phoenix, alternativedance dance-punk indiepop indierock modernrock newrave rockindependantfrancais
lcd soundsystem, alternativedance alternativerock dance-punk electronicrock electronica indiepop indierock indietronica modernrock newrave rock
crystal castles, alternativedance bitpop dance-punk digitalhardcore electronica indietronica neo-synthpop newrave nintendocore nugaze
röyksopp, alternativedance bigbeat downtempo electronica electropop triphop
sébastien tellier, alternativedance downtempo electronica filterhouse frenchindiepop frenchindietronica frenchsynthpop newrave
fatboy slim, bigbeat
danny brown, alternativehiphop detroithiphop escaperoom hiphop rap undergroundhiphop
jpegmafia, alternativehiphop escaperoom experimentalhiphop hiphop industrialhiphop rap undergroundhiphop
shabazz palaces, afrofuturism alternativehiphop escaperoom experimentalhiphop freakfolk psychedelichiphop seattlehiphop wonky
billy woods, alternativehiphop escaperoom
the microphones, alternativerock anti-folk freakfolk indiepop indierock lo-fi noisepop olympiawaindie
king geedorah, alternativehiphop hardcorehiphop hiphop
lil ugly mane, alternativehiphop phonk psychedelichiphop undergroundhiphop virginiahiphop
have a nice life, alternativerock blackgaze dreampop nugaze post-rock shoegaze
swans, alternativerock artpop artrock dreampop experimental experimentalrock freakfolk industrial industrialrock nowave noiserock post-punk post-rock
clipping., alternativehiphop escaperoom experimentalhiphop industrialhiphop
lil b, undergroundhiphop
xiu xiu, alternativerock anti-folk artpop bayareaindie dreampop escaperoom experimental experimentalpop experimentalrock freakfolk gravewave noisepop
daughters, mathcore modernrock noiserock post-hardcore rhodeislandindie
earl sweatshirt, alternativehiphop escaperoom experimentalhiphop hiphop rap undergroundhiphop
lightning bolt, dance-punk experimental experimentalrock freakfolk noisepop noisepunk noiserock post-hardcore rhodeislandindie
sweet trip, alternativerock artpop dreampop freakfolk nugaze shoegaze vaporwave
the i.l.y's, synthpunk
animal collective, alternativedance alternativerock artpop artrock baltimoreindie chillwave dance-punk electronica experimentalpop freakfolk indiepop indierock modernrock newrave noisepop
viktor vaughn, alternativehiphop hardcorehiphop hiphop
slint, alternativerock artrock dreampop experimental experimentalrock freakfolk indierock lo-fi louisvilleunderground mathrock post-hardcore post-punk post-rock slowcore
frank ocean, alternativer&b hiphop lgbtq+hiphop neosoul pop
a$ap rocky, eastcoasthiphop hiphop rap trap
partynextdoor, pop poprap rap torontorap trap urbancontemporary
childish gambino, atlhiphop hiphop poprap rap
miguel, dancepop pop r&b urbancontemporary
kendrick lamar, conscioushiphop hiphop rap westcoastrap
jeremih, chicagorap dancepop hiphop pop poprap r&b southernhiphop trap urbancontemporary
big sean, detroithiphop hiphop poprap rap southernhiphop trap
bryson tiller, kentuckyhiphop poprap rap trap
majid jordan, alternativer&b canadiancontemporaryr&b trapsoul
roy woods, canadiancontemporaryr&b canadianhiphop poprap trap trapsoul
6lack, alternativer&b atlhiphop hiphop melodicrap poprap rap trap
dvsn, alternativer&b canadiancontemporaryr&b chillr&b indier&b pop popr&b r&b trapsoul urbancontemporary
jhené aiko, alternativer&b dancepop pop r&b urbancontemporary
"tyler, the creator", hiphop rap
dj khaled, dancepop hiphop miamihiphop pop poprap rap southernhiphop trap
french montana, hiphop poprap rap southernhiphop trap
schoolboy q, gangsterrap hiphop poprap rap southernhiphop trap undergroundhiphop
wale, dancepop gangsterrap hiphop pop poprap r&b rap southernhiphop trap urbancontemporary
jaden, hiphop poprap rap
justice, alternativedance dance-punk electronica filterhouse newrave
the chemical brothers, alternativedance bigbeat breakbeat electronica newrave rave
breakbot, alternativedance filterhouse newfrenchtouch nudisco
kavinsky, filterhouse
cassius, alternativedance bigbeat discohouse electrohouse electronica filterhouse newrave
digitalism, alternativedance bigbeat dance-punk electrohouse electronica indietronica newrave
ratatat, alternativedance electronica indietronica newrave
metronomy, alternativedance dance-punk electronica electropop frenchindiepop indierock indietronica modernrock newrave socalpoppunk
hot chip, alternativedance chillwave dance-punk electronica electropop indierock indietronica modernrock neo-synthpop newrave
chromeo, alternativedance dance-punk filterhouse newrave nudisco
the avalanches, alternativedance australianalternativerock australiandance collagepop electronica newrave psychedelichiphop
gesaffelstein, darkclubbing destroytechno electrohouse
deadmau5, canadianelectronic edm electrohouse progressivehouse
empire of the sun, alternativedance australiandance australianelectropop dance-punk electropop indietronica neo-synthpop newrave
phoenix, alternativedance dance-punk indiepop indierock modernrock newrave rockindependantfrancais
lcd soundsystem, alternativedance alternativerock dance-punk electronicrock electronica indiepop indierock indietronica modernrock newrave rock
crystal castles, alternativedance bitpop dance-punk digitalhardcore electronica indietronica neo-synthpop newrave nintendocore nugaze
röyksopp, alternativedance bigbeat downtempo electronica electropop triphop
sébastien tellier, alternativedance downtempo electronica filterhouse frenchindiepop frenchindietronica frenchsynthpop newrave
fatboy slim, bigbeat
sob x rbe, calirap trap vaportrap
03 greedo, calirap melodicrap trap undergroundhiphop vaportrap
daboii, calirap westcoasttrap
allblack, calirap hyphy westcoasttrap
nef the pharaoh, calirap hyphy westcoasttrap
g perico, calirap westcoasttrap
rucci, calirap westcoasttrap
frostydasnowmann, calirap westcoasttrap
lil pete, calirap westcoasttrap
bluebucksclan, calirap
1takejay, calirap
azchike, calirap
bravo the bagchaser, calirap
mike sherm, calirap westcoasttrap
shoreline mafia, calirap trap undergroundhiphop
shootergang kony, calirap detroittrap westcoasttrap
memothemafioso, calirap
rjmrla, calirap westcoasttrap
capolow, calirap oaklandhiphop westcoasttrap
lil bean, calirap westcoasttrap
the briggs, punk'n'roll skatepunk
roger miret & the disasters, americanoi oi punk'n'roll
far from finished, americanoi bostonpunk punk'n'roll
the ducky boys, americanoi bostonpunk punk'n'roll
darkbuster, americanoi bostonpunk oi punk'n'roll
left alone, modernskapunk punk punk'n'roll ska skapunk skatepunk
lars frederiksen and the bastards, oi punk punk'n'roll skapunk skatepunk
swingin' utters, americanoi melodichardcore orgcore power-poppunk punk punk'n'roll skapunk skatepunk
u.s. bombs, oi punk punk'n'roll skapunk
bombshell rocks, punk'n'roll skatepunk
time again, crackrocksteady punk'n'roll skapunk
born to lose, punk'n'roll texaspunk
the generators, punk'n'roll
the bruisers, americanoi bostonpunk oi punk'n'roll
the unseen, bostonhardcore bostonpunk punk punk'n'roll skapunk skatepunk
the rabble, nzpunk punk'n'roll streetpunk
flatfoot 56, alternativerootsrock celticpunk chicagopunk christianpunk
the bouncing souls, melodichardcore newjerseyhardcore newjerseypunk poppunk punk ska skapunk skatepunk
the real mckenzies, canadianceltic canadianpunk celticrock punk shanty skatepunk vancouverpunk
mike ness, psychobilly punk punk'n'roll rockabilly
justice, alternativedance dance-punk electronica filterhouse newrave
the chemical brothers, alternativedance bigbeat breakbeat electronica newrave rave
breakbot, alternativedance filterhouse newfrenchtouch nudisco
kavinsky, filterhouse
cassius, alternativedance bigbeat discohouse electrohouse electronica filterhouse newrave
digitalism, alternativedance bigbeat dance-punk electrohouse electronica indietronica newrave
ratatat, alternativedance electronica indietronica newrave
metronomy, alternativedance dance-punk electronica electropop frenchindiepop indierock indietronica modernrock newrave socalpoppunk
hot chip, alternativedance chillwave dance-punk electronica electropop indierock indietronica modernrock neo-synthpop newrave
chromeo, alternativedance dance-punk filterhouse newrave nudisco
